Address1,Address2,propertyID,listingID,propertyType,price,leasePrice,buildingType,neighbourhood,bathrooms,bedrooms,communityFeatures,nearbyAmenities,storeys,walkscore,transitscore,machineryIncluded,rentalEquipment,parkingType,majorBusinessType,minorBusinessType,totalUnits,landSize,zoningType,interiorFloorSpace,exteriorBuildingSize,franchise,buildingAmenities,buildingStyle,basementDevelopment,notificationUpdate,anchor,retailStorefront,clearCeilingHeight,hasphoto,photos,multimediaFeatures,listingVideoType,city,province,soldData,hasAlternateFeatureSheet,hasOpenHouse,hasVirtualOpenHouse,hasCMHCFTHBBanner,hasTDpreApprovalIcon,hasActiveVirtualOpenHouse,Property Type,Building Type,Community Name,Title,Annual Property Taxes,Parking Type,Time on REALTOR.ca,Above Grade,Total,Features,Building Amenities,Cooling,Heating Type,Exterior Finish,Pool Type,Community Features,Amenities Nearby,Maintenance Fees,Maintenance Management Company,Total Parking Spaces,rooms_info
#1117 -7 KING ST E,"Toronto, Ontario M5C1A7",23770948,C5414101,SingleFamily,985000.00,,Apartment,,2,3,,,,,,,,Underground,,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,21,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Church-Yonge Corridor,Condominium/Strata,"$3,941 (CAD)",Underground,26 days,2,2,,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Brick,Indoor pool,,,$970 (CAD) Monthly,Icc,1,"{'Main level': {'Living room': '3.66 m x 3.05 m', 'Dining room': '3.13 m x 2.75 m', 'Kitchen': '2.14 m x 2.75 m', 'Primary Bedroom': '5.34 m x 3.66 m', 'Bedroom 2': '4.65 m x 3.05 m', 'Solarium': '2.52 m x 2.44 m'}}"
#1007 -231 FORT YORK BLVD,"Toronto, Ontario M5V1B2",23817163,C5429352,SingleFamily,899000.00,,Apartment,,2,2,,"Hospital,Park,PublicTransit",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,ExerciseCentre",,,no,,,,yes,39,Video,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Niagara,Condominium/Strata,"$2,752.65 (CAD)","Underground, Visitor Parking",11 days,2,2,"Conservation/green belt, Balcony","Storage - Locker, Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Indoor pool,,"Hospital, Park, Public Transit",$730.53 (CAD) Monthly,Maple Ridge Property Management 416-366-9200,1,"{'Flat': {'Living room': '11.1 m x 16.1 m', 'Dining room': '7.11 m x 9.6 m', 'Primary Bedroom': '17.4 m x 9.8 m', 'Bedroom 2': '15.5 m x 9.2 m', 'Kitchen': '7.11 m x 8.9 m'}}"
#307 -373 FRONT ST W,"Toronto, Ontario M5V3R7",23833721,C5435117,SingleFamily,1098800.00,,Apartment,,2,4,PetsnotAllowed,PublicTransit,,,,,,Underground,,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,14,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Waterfront Communities C1,Condominium/Strata,"$2,804.55 (CAD)",Underground,4 days,2,2,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,,Concrete,Indoor pool,Pets not Allowed,Public Transit,$786.90 (CAD) Monthly,City Suiteproperty Management 416-883-3999,1,"{'Other': {'Living room': '3.39 m x 3.2 m', 'Dining room': '3.55 m x 2.67 m', 'Kitchen': '2.54 m x 2.13 m', 'Primary Bedroom': '4.7 m x 2.9 m', 'Bedroom 2': '3.05 m x 2.52 m', 'Den': '3.03 m x 2.95 m'}}"
#PH-09 -130 CARLTON ST,"Toronto, Ontario M5A4K3",23795115,C5421864,SingleFamily,1649000.00,,Apartment,,2,3,,"Hospital,Park,PublicTransit,Schools",2,,,,,"Underground,VisitorParking",,,,,,,,,"Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,40,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Cabbagetown-South St. James Town,Condominium/Strata,"$4,659 (CAD)","Underground, Visitor Parking",18 days,2,2,,"Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,"Hospital, Park, Public Transit, Schools","$1,735.84 (CAD) Monthly",Royale Grande Property Management (416)-945-7902,1,"{'Main level': {'Foyer': '3.84 m x 1.78 m', 'Kitchen': '6.12 m x 3.05 m', 'Den': '5.03 m x 3.78 m', 'Dining room': '4.5 m x 4.19 m', 'Living room': '4.95 m x 3.84 m', 'Bedroom': '5.05 m x 4.04 m', 'Bedroom 2': '4.75 m x 4.06 m', 'Storage': '2.77 m x 2.31 m'}, 'Upper Level': {'Other': '10.05 m x 8.01 m'}}"
#725 -112 GEORGE ST,"Toronto, Ontario M5A4P8",23760072,C5410417,SingleFamily,755000.00,,Apartment,,1,1,,,,,,,,Underground,,,,,,,,,"Storage-Locker,PartyRoom,Security/Concierge,ExerciseCentre,RecreationCentre",,,no,,,,yes,6,"Audio,Brochure,Photos,Map",,Toronto,Ontario,no,no,no,no,yes,no,no,Single Family,Apartment,Moss Park,Condominium/Strata,"$2,764.78 (CAD)",Underground,31 days,1,1,Balcony,"Storage - Locker, Party Room, Security/Concierge, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Brick,,,,$523.46 (CAD) Monthly,Crossbridge,1,{}
#801 -111 ELIZABETH ST,"Toronto, Ontario M5G1P7",23764227,C5411913,SingleFamily,699900.00,,Apartment,,1,2,,PublicTransit,,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,PartyRoom,ExerciseCentre",,,no,,,,yes,21,"Video,FloorPlan",iGuide,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Bay Street Corridor,Condominium/Strata,"$2,700 (CAD)","Underground, Visitor Parking",29 days,1,1,Balcony,"Storage - Locker, Security/Concierge, Party Room, Exercise Centre",Central air conditioning,Forced air (Electric),Concrete,Indoor pool,,Public Transit,$539.46 (CAD) Monthly,Brookfield Property Management 416-345-9600,1,"{'Flat': {'Living room': '6.02 m x 6.48 m', 'Dining room': '6.02 m x 6.48 m', 'Kitchen': '3.15 m x 2.29 m', 'Bedroom': '3.07 m x 3.41 m', 'Den': '2.41 m x 2.29 m'}}"
#306 -4062 LAWRENCE AVE E,"Toronto, Ontario M1E4V5",23812688,E5427773,SingleFamily,414900.00,,,,2,3,,,,,,,,Underground,,,,,,,,,Storage-Locker,,,no,,,,yes,24,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,,West Hill,Condominium/Strata,$965.52 (CAD),Underground,12 days,3,2,Balcony,Storage - Locker,Central air conditioning,Forced air (Natural gas),Brick,,,,"$1,200.02 (CAD) Monthly",Tony Kuny And Associates,1,"{'Main level': {'Living room': '63.89 m x 54.02 m', 'Dining room': '26.9 m x 22.6 m', 'Kitchen': '46.25 m x 20.43 m', 'Primary Bedroom': '63.7 m x 40.87 m'}, 'Upper Level': {'Bedroom 2': '54.78 m x 32.28 m', 'Bedroom 3': '43.56 m x 32.28 m', 'Laundry room': '18.93 m x 1.61 m'}}"
#1203 -55 HARRISON GARDEN BLVD,"Toronto, Ontario M2N7G4",23830299,C5433919,SingleFamily,625988.00,,Apartment,,1,2,,,,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,ExerciseCentre,RecreationCentre",,,no,,,,yes,16,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Willowdale East,Condominium/Strata,"$2,083.55 (CAD)","Underground, Visitor Parking",5 days,1,1,Balcony,"Storage - Locker, Security/Concierge, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Brick,,,,$641 (CAD) Monthly,Maple Ridge Community Management,1,"{'Flat': {'Living room': '6.02 m x 3.35 m', 'Dining room': '6.02 m x 3.35 m', 'Kitchen': '2.44 m x 2.44 m', 'Primary Bedroom': '3.66 m x 3.05 m', 'Den': '2.44 m x 2.74 m'}}"
#LOCKER -12 YORK ST,"Toronto, Ontario M5J2Z2",23804555,C5425200,SingleFamily,4850.00,,Other,,0,,,,,,,,,,,,,.,,,,,Storage-Locker,,,no,,,,yes,1,no,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Other,Waterfront Communities C1,Condominium/Strata,$0 (CAD),,15 days,,0,,Storage - Locker,,,,,,,$20.79 (CAD) Monthly,Duka Property Management,,{}
#2703 -18 PARKVIEW AVE,"Toronto, Ontario M2N7H7",23820876,C5430766,SingleFamily,728000.00,,Apartment,,2,2,,"PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Sauna,Security/Concierge,ExerciseCentre,RecreationCentre",,,no,,,,yes,28,Video,,Toronto,Ontario,no,yes,no,no,yes,no,no,Single Family,Apartment,Willowdale East,Condominium/Strata,"$2,401.69 (CAD)","Underground, Visitor Parking",10 days,2,2,Balcony,"Storage - Locker, Sauna, Security/Concierge, Exercise Centre, Recreation Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,"Public Transit, Schools",$684.29 (CAD) Monthly,Manor Cres Management Ltd. (416) 224-8402,1,"{'Flat': {'Living room': '5.77 m x 3.2 m', 'Dining room': '5.77 m x 3.2 m', 'Kitchen': '2.6 m x 2.43 m', 'Primary Bedroom': '4.31 m x 3.02 m', 'Bedroom 2': '3.02 m x 2.6 m'}}"
#201 -3 MCALPINE ST,"Toronto, Ontario M5R3T5",23789727,C5420345,SingleFamily,975000.00,,Apartment,,1,2,,"PublicTransit,Schools",1,,,,,Underground,,,,,,,,,"Storage-Locker,Security/Concierge,ExerciseCentre",,,no,,,,yes,28,Video,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Annex,Condominium/Strata,"$3,959.37 (CAD)",Underground,20 days,2,1,,"Storage - Locker, Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,,,"Public Transit, Schools","$1,212.54 (CAD) Monthly",Crossbridge Condo Services,1,"{'Main level': {'Foyer': '1.21 m x 3.04 m', 'Living room': '2.89 m x 4.29 m', 'Dining room': '3.14 m x 3.59 m', 'Kitchen': '2.77 m x 2.47 m', 'Bedroom': '4.14 m x 2.93 m', 'Bedroom 2': '3.03 m x 2.95 m', 'Laundry room': '1.21 m x 1.52 m'}}"
#904 -15 BEVERLEY ST,"Toronto, Ontario M5T0B3",23815594,C5428647,SingleFamily,1080000.00,,Apartment,,2,2,,"Hospital,Park,PublicTransit,Schools",,,,,,"Underground,VisitorParking",,,,,,,,,"Storage-Locker,Security/Concierge,ExerciseCentre",,,no,,,,yes,2,no,,Toronto,Ontario,no,yes,no,no,no,no,no,Single Family,Apartment,Kensington-Chinatown,Condominium/Strata,"$4,417.60 (CAD)","Underground, Visitor Parking",11 days,2,2,,"Storage - Locker, Security/Concierge, Exercise Centre",Central air conditioning,Forced air (Natural gas),Concrete,Outdoor pool,,"Hospital, Park, Public Transit, Schools","$1,226.43 (CAD) Monthly",Crossbridge Condominium Service,1,"{'Flat': {'Living room': '5.03 m x 6.09 m', 'Dining room': '5.03 m x 6.09 m', 'Kitchen': '5.03 m x 6.09 m', 'Primary Bedroom': '4.27 m x 3.08 m', 'Bedroom 2': '2.74 m x 3.26 m'}}"
